"UserPrincipalName";"DisplayName";"TotalItemSizeGB";"ItemCount";"WarningQuota";"SendQuota";"LastLogonTime";"Status";"Reason"
"LidiaH@M365x57702712.OnMicrosoft.com";"Lidia Holloway";"0.01";"237";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";"12/6/2025 6:37:57 AM";"SUCCESS";"Storage data collected."
"lili.cipto@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'lili.cipto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"lili.jauhari@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'lili.jauhari@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"linda.saputro@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'linda.saputro@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"lisa.lazuardi@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'lisa.lazuardi@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"maman.fahrul@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'maman.fahrul@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"MeganB@M365x57702712.OnMicrosoft.com";"Megan Bowen";"0.01";"210";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";"12/6/2025 7:03:38 AM";"SUCCESS";"Storage data collected."
"admin@M365x57702712.onmicrosoft.com";"MOD Administrator";"0.02";"500";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";"12/19/2025 10:35:42 AM";"SUCCESS";"Storage data collected."
"NestorW@M365x57702712.OnMicrosoft.com";"Nestor Wilke";"0";"88";"1.96 GB (2,104,492,032 bytes)";"1.979 GB (2,125,463,552 bytes)";"12/6/2025 6:14:43 AM";"SUCCESS";"Storage data collected."
"nisa.dharma@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'nisa.dharma@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"nisa.nugraha@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'nisa.nugraha@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"radit.jauhari@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'radit.jauhari@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"raffi.yahya@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'raffi.yahya@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"riyanp@M365x57702712.onmicrosoft.com";"riyan";"0";"2";"49 GB (52,613,349,376 bytes)";"49.5 GB (53,150,220,288 bytes)";;"SUCCESS";"Storage data collected."
"salsa.salim@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'salsa.salim@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"sari.wibisono@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'sari.wibisono@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"siska.utami@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'siska.utami@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"vera.basuki@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'vera.basuki@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"vera.nurhadi@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'vera.nurhadi@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"wati.valianto@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'wati.valianto@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
"zahra.zulfikar@M365x57702712.onmicrosoft.com";;;;;;;"FAIL";"||The operation couldn't be performed because object 'zahra.zulfikar@M365x57702712.onmicrosoft.com' couldn't be found on 'PSAPR03A06DC005.APCPR03A006.PROD.OUTLOOK.COM'."
